Resultados Elecciones Generales Presidenciales 2021 - ;;;;;;;;;
;;;;;;;;;
AMAZONAS > BAGUA;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Electores hábiles;Participación ciudadana;(%)Participación Ciudadana;;;;;;;
35;270;24,098;68.324;;;;;;
;;;;;;;;;
;;;;;;;;;
Partido;Organización Política;Porcentaje Válidos;;;;;;;
PARTIDO NACIONALISTA PERUANO;1,816;10.133;;;;;;;
EL FRENTE AMPLIO POR JUSTICIA VIDA Y LIBERTAD;60;0.335;;;;;;;
PARTIDO MORADO;164;0.915;;;;;;;
PERU PATRIA SEGURA;40;0.223;;;;;;;
VICTORIA NACIONAL;938;5.234;;;;;;;
ACCION POPULAR;1,568;8.749;;;;;;;
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL;470;2.622;;;;;;;
PODEMOS PERU;651;3.632;;;;;;;
JUNTOS POR EL PERU;800;4.464;;;;;;;
PARTIDO POPULAR CRISTIANO - PPC;78;0.435;;;;;;;
FUERZA POPULAR;2,740;15.288;;;;;;;
UNION POR EL PERU;496;2.768;;;;;;;
RENOVACION POPULAR;1,420;7.923;;;;;;;
RENACIMIENTO UNIDO NACIONAL;105;0.586;;;;;;;
PARTIDO DEMOCRATICO SOMOS PERU;174;0.971;;;;;;;
PARTIDO POLITICO NACIONAL PERU LIBRE;4,668;26.046;;;;;;;
DEMOCRACIA DIRECTA;36;0.201;;;;;;;
ALIANZA PARA EL PROGRESO;1,698;9.474;;;;;;;
TOTAL DE VOTOS VÁLIDOS;17,922;100;;;;;;;
VOTOS EN BLANCO;4,525;;;;;;;;
VOTOS NULOS;1,651;;;;;;;;
TOTAL DE VOTOS EMITIDOS;24,098;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Actas;Actas Procesadas 61.261%;Actas Enviadas al JNE;;;;;;;
222;136;7;;;;;;;
;;;;;;;;;
;;;;;;;;;
MESAS A INSTALAR;;;;;;;;;
MESAS INSTALADAS(N);MESAS NO INSTALADAS(O);MESAS POR INFORMAR(P);;;;;;;
136;0;86;;;;;;;
;;;;;;;;;
;;;;;;;;;
ACTAS A RESOLVER POR EL AL JNE;;;;;;;;;
Con Votos Impugnados;Con Error Material;Con Ilegibilidad;Incompleta;Con Solicitud de Nulidad;Acta sin datos;Acta Extraviada;Acta Siniestrada;Acta sin Firmas;Con más de un tipo de Observación
0;6;0;0;0;0;0;0;1;0
;;;;;;;;;
;;;;;;;;;
ANULADAS POR RESOLUCIÓN;;;;;;;;;
CONTALIZABILIZADAS ANULADAS(L);ACTAS DE MESAS NO INSTALADAS(M);;;;;;;;
0;0;;;;;;;;
;;;;;;;;;
;;;;;;;;;
ACTAS POR PROCESAR(38.739)%;;;;;;;;;
86;;;;;;;;;